"Eccentricity"	"Invaginations"	"Circularity"	"Solidity"	"MNC"	"STD_Curvature"	"Tortuosity"	"Minor_Axis_Length"	"Mean_Curvature"	"Major_Axis_Length"	"Perimeter"	"Area"	"BPintensity.gamma"	"meanIntensity.gamma"	"stdIntensity.gamma"	"BPintensity.progerin"	"meanIntensity.progerin"	"stdIntensity.progerin"	"BPintensity.lamin"	"meanIntensity.lamin"	"stdIntensity.lamin"
0.623766	0	1.0426	0.95881	0	0.0531544	0.00018884	13.2527	-0.0546595	16.9556	48.5987	174.386	68.6777	73.3866	43.1155	184.939	187.005	45.6766	303.004	286.905	44.2326
0.758545	1	1.07017	0.968421	0.00149292	0.0652239	0.00018978	13.8906	-0.0463456	21.317	57.1034	231.6	194.774	196.54	75.9355	273.929	288.208	116.808	346.488	345.062	72.3642
0.748208	1	1.10215	0.940758	0.00828205	0.089616	0.000414921	11.9824	-0.0534824	18.0603	50.0486	166.507	27.4641	27.9924	10.5824	257.408	262.008	65.9981	298.525	285.476	52.1539
0.832366	2	1.24656	0.83867	0.0329295	0.145871	0.000764916	15.1041	-0.034815	27.2526	75.8566	285.702	29.484	31.116	20.9114	227.413	238.01	82.1609	381.31	368.081	78.8663
0.800549	0	1.0801	0.96	0	0.0778976	0.000177392	9.23571	-0.0659293	15.4117	39.9925	112.427	36.9356	36.6477	13.2488	219.626	235.92	73.5085	453.773	448.561	86.6437
0.729486	1	1.06956	0.961722	0.0034372	0.0713851	0.000250131	12.1731	-0.054659	17.797	48.6447	166.997	22.3498	21.3433	10.8759	276.921	277.92	86.5726	310.177	298.512	74.8092
0.851105	1	1.12139	0.964844	0.00032401	0.0914286	0.000224875	8.35322	-0.0670103	15.911	39.3104	103.325	89.2328	81.417	135.863	287.728	287.049	82.2336	434.966	424.174	68.4028
0.809346	3	1.23481	0.869081	0.0403419	0.165979	0.00158534	14.5281	-0.0371212	24.7357	72.1906	261.431	39.8033	37.9936	32.1795	156.566	165.146	55.175	337.463	339.819	90.7969
0.47187	2	1.03626	0.961679	0.000605751	0.0560491	0.00018479	15.8311	-0.0486339	17.9559	54.4575	220.789	109.881	109.987	43.7934	324.735	330.398	105.629	392.658	364.33	81.1136
0.59911	2	1.07773	0.951318	0.00387589	0.0814456	0.00032814	14.4013	-0.0498749	17.9866	53.5011	198.587	35.8913	28.2175	61.0122	283.94	291.834	51.7922	353.576	342.482	54.9722
0.637251	0	1.04959	0.958466	0	0.0530108	0.000136224	11.1503	-0.0641576	14.4686	41.6042	126.402	20.7123	21.0333	12.1929	287.907	297.193	133.074	280.374	276.51	71.4808
