"Eccentricity"	"Invaginations"	"Circularity"	"Solidity"	"MNC"	"STD_Curvature"	"Tortuosity"	"Minor_Axis_Length"	"Mean_Curvature"	"Major_Axis_Length"	"Perimeter"	"Area"	"BPintensity.gamma"	"meanIntensity.gamma"	"stdIntensity.gamma"	"BPintensity.progerin"	"meanIntensity.progerin"	"stdIntensity.progerin"	"BPintensity.lamin"	"meanIntensity.lamin"	"stdIntensity.lamin"
0.611654	0	1.0181	0.983287	0	0.0336479	2.84023e-05	12.2065	-0.0600615	15.4293	43.7722	148.231	12.014	12.5694	4.89566	36.3864	36.2465	8.19707	589.225	560.714	84.4702
0.553805	0	1.01275	0.985169	0	0.0275203	2.10823e-05	14.3668	-0.0521502	17.2544	50.352	197.707	51.1431	56.0688	27.9859	24.7682	23.4151	3.88434	691.39	610.968	113.995
0.236741	0	1.00844	0.972973	0	0.0279466	4.69197e-05	14.9844	-0.0543872	15.4228	48.3394	183.066	17.4265	21.6713	19.7728	20.4025	19.5671	3.63601	527.746	475.829	86.9278
0.722659	0	1.04236	0.982833	0	0.0486369	5.44089e-05	13.0039	-0.051853	18.8133	50.6894	191.886	52.0452	49.0764	20.9969	20.123	19.9498	4.35961	496.521	453.865	105.367
0.523995	0	1.02231	0.97314	0	0.0383733	6.61583e-05	14.6535	-0.0520582	17.2046	50.7662	197.368	13.5112	14.7091	7.84845	28.238	29.6242	8.69782	351.394	349.82	69.9802
0.391443	0	1.01087	0.981061	0	0.0298853	4.70507e-05	15.9636	-0.0497378	17.3479	52.9082	218.357	62.0473	69.5367	25.5294	24.26	22.6293	4.05209	664.536	586.506	115.218
0.624661	1	1.05082	0.965583	0.00185835	0.065568	0.00018713	14.6165	-0.0491725	18.7176	53.774	210.709	12.1004	12.8376	6.68549	25.9697	26.2772	8.04615	312.426	310.22	64.8844
0.680391	0	1.03109	0.981233	0	0.0440106	4.96414e-05	11.9599	-0.0583786	16.3197	45.0409	153.937	142.815	141.254	70.7508	24.8951	23.9016	3.9192	530.675	485.243	93.8661
0.473701	0	1.00954	0.983923	0	0.0247996	2.66637e-05	12.0035	-0.0644098	13.6297	40.8195	130.485	18.6422	16.7124	18.2644	17.0259	16.6569	3.74821	540.486	496.644	72.1428
0.818514	2	1.11524	0.947917	0.00430145	0.0916231	0.000321314	10.6554	-0.0549116	18.5476	48.0246	153.592	13.364	16.3984	14.4772	39.7898	37.8242	6.99326	668.297	645.621	102.565
0.487547	0	1.01436	0.978402	0	0.0335219	5.01073e-05	14.5348	-0.0534176	16.6474	49.2415	188.181	126.84	134.219	50.0942	31.1711	29.8698	4.98389	541.212	484.382	99.9277
0.769168	0	1.05401	0.983871	0	0.0595984	7.24555e-05	10.2087	-0.0626346	15.9749	41.9307	129.239	121.117	121.961	45.3761	17.159	16.5574	4.34274	444.116	413.511	72.9529
0.660602	0	1.02736	0.974299	0	0.0406391	3.83384e-05	12.9306	-0.0547937	17.2239	47.964	175.547	11.7302	12.6691	8.36377	25.0204	24.6835	4.70224	635.483	589.369	92.0253
0.659982	0	1.02622	0.976798	0	0.0384343	3.52731e-05	12.9903	-0.0546241	17.2909	48.1344	176.994	10.6133	10.6176	3.89549	12.5097	11.848	3.38423	374.855	330.359	74.119
0.675583	1	1.04885	0.970492	0.000150806	0.0551497	0.000168827	15.2852	-0.0455496	20.7318	58.0081	246.699	14.0637	13.6774	5.58936	22.0154	22.7466	9.19961	512.868	471.343	96.58
0.581529	0	1.01779	0.965665	0	0.0361164	6.14032e-05	9.90185	-0.0748286	12.1715	35.141	95.5284	14.1323	16.0267	13.9316	28.629	28.1689	9.78053	401.101	386.564	59.4652
0.820797	3	1.15586	0.922414	0.0170797	0.113184	0.000488108	14.2524	-0.0398895	24.9508	66.3864	268.149	47.7225	51.0389	37.9441	33.7353	34.7586	11.3869	340.098	309.819	73.7946
0.716473	0	1.04127	0.97389	0	0.052499	6.89597e-05	11.8093	-0.0576675	16.9281	45.5679	155.115	23.6327	25.4504	13.6321	18.3505	17.1743	4.3748	401.885	368.968	96.3136
0.622009	0	1.02068	0.97449	0	0.0364668	4.32871e-05	12.6356	-0.0580039	16.1373	45.2711	157.959	13.1495	13.3246	3.93375	27.5211	26.6204	4.00589	560.945	517.44	85.0466
0.783585	0	1.06869	0.968421	0	0.0637666	0.00011439	11.0483	-0.0568686	17.783	46.369	154.364	24.3078	23.7283	12.4794	24.5248	24.9049	6.2211	240.029	235.679	62.4999
0.656526	1	1.04157	0.964706	0.000596531	0.0560509	0.000116928	14.1303	-0.050004	18.733	52.6541	205.928	50.5025	57.7602	27.8239	13.8746	13.374	3.46856	724.175	634.368	139.751
0.477967	0	1.03157	0.975962	0	0.0513102	0.000171272	13.8686	-0.0555494	15.7889	47.593	170.523	27.1014	27.3276	18.8907	13.6825	12.7833	3.73338	333.224	308.229	83.2394
0.667776	0	1.02718	0.972414	0	0.0393106	3.36727e-05	12.9632	-0.0544235	17.4152	48.2392	177.609	12.7795	14.6619	5.99064	24.7016	23.0213	4.02328	542.2	500.076	73.8491
0.687088	1	1.05479	0.962594	0.00384134	0.0707473	0.000194165	12.3262	-0.0557079	16.9649	47.3792	162.326	11.5538	12.5751	9.27786	39.2438	37.7332	7.45471	406.95	379.764	82.2845
0.614912	0	1.03331	0.97556	0	0.0495885	8.30851e-05	14.2562	-0.0513748	18.078	51.2892	197.992	14.3563	14.0292	4.96759	11.2168	11.2359	3.56069	375.048	339.58	78.0095
